State ,Year,Death_Case
KEDAH,2017,560
KELANTAN,2017,442
MELAKA ,2017,230
NEGERI SEMBILAN,2017,370
PAHANG ,2017,485
PERAK ,2017,711
PERLIS,2017,62
PULAU PINANG,2017,401
SABAH,2017,351
SARAWAK,2017,408
SELANGOR,2017,"1,087"
TERENGGANU,2017,330
WILAYAH PERSEKUTUAN              ,2017,236
JOHOR,2018,977
KEDAH,2018,509
KELANTAN,2018,420
MELAKA ,2018,191
NEGERI SEMBILAN,2018,362
PAHANG ,2018,485
PERAK ,2018,693
PERLIS,2018,64
PULAU PINANG,2018,390
SABAH,2018,310
SARAWAK,2018,333
SELANGOR,2018,"1,046"
TERENGGANU,2018,275
WILAYAH PERSEKUTUAN              ,2018,229
JOHOR,2019,"1,040"
KEDAH,2019,446
KELANTAN,2019,338
MELAKA ,2019,217
NEGERI SEMBILAN,2019,337
PAHANG ,2019,454
PERAK ,2019,667
PERLIS,2019,76
PULAU PINANG,2019,392
SABAH,2019,291
SARAWAK,2019,369
SELANGOR,2019,"1,054"
TERENGGANU,2019,277
WILAYAH PERSEKUTUAN              ,2019,209
JOHOR,2020,697
KEDAH,2020,354
KELANTAN,2020,276
MELAKA ,2020,151
NEGERI SEMBILAN,2020,235
PAHANG ,2020,356
PERAK ,2020,491
PERLIS,2020,46
PULAU PINANG,2020,287
SABAH,2020,220
SARAWAK,2020,315
SELANGOR,2020,805
TERENGGANU,2020,238
WILAYAH PERSEKUTUAN              ,2020,163
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
